trade_date,equity
2019-01-02,1057120.6802244878
2019-01-03,1057921.4587591742
2019-01-04,1059130.9680042737
2019-01-07,1060624.086313741
2019-01-08,1060724.183630577
2019-01-09,1060165.3069449104
2019-01-10,1060232.0384894675
2019-01-11,1058864.0418260447
2019-01-14,1061408.1819622885
2019-01-15,1062968.031816313
2019-01-16,1062008.765863303
2019-01-17,1064202.5653906215
2019-01-18,1064235.9311629
2019-01-21,1315728.4732424975
2019-01-22,1321776.0194304192
2019-01-23,1325237.7182828155
2019-01-24,1319440.4153854288
2019-01-25,1318481.149438379
2019-01-28,1322568.4565171122
2019-01-29,1317229.9329857058
2019-01-30,1317355.0546309731
2019-01-31,1330826.485104757
2019-02-01,1340585.9734356094
2019-02-11,1348301.8082270955
2019-02-12,1349970.09683066
2019-02-13,1346424.9835480854
2019-02-14,1338500.6126811537
2019-02-15,1348677.1731628976
2019-02-18,1342004.0187486394
2019-02-19,1342587.9197598868
2019-02-20,1338792.5631867775
2019-02-21,1339835.2435640055
2019-02-22,1347843.0288611152
2019-02-25,1354057.4039093931
2019-02-26,1348009.8577214717
2019-02-27,1348009.8577214717
2019-02-28,1354140.8183395714
2019-03-01,1364442.5004665824
2019-03-04,1364359.0860364044
2019-03-05,1360188.3645274928
2019-03-06,1351096.191638066
2019-03-07,1338417.1982509755
2019-03-08,1343714.0145672928
2019-03-11,1342546.2125447977
2019-03-12,1345215.474310501
2019-03-13,1346007.911397194
2019-03-14,1343922.5506427386
2019-03-15,1359854.70680678
2019-03-18,1353056.4307472545
2019-03-19,1350929.3627777097
2019-03-20,1352347.4080907395
2019-03-21,1351930.3359398483
2019-03-22,1339918.6579941837
2019-03-25,1337541.346734104
2019-03-26,1342796.4558353324
2019-03-27,1340085.4868545402
2019-03-28,1349761.5607552144
2019-03-29,1358103.0037730373
2019-04-01,1354557.8904904625
2019-04-02,1350387.1689815512
2019-04-03,1347092.298989511
2019-04-04,1349928.389615571
2019-04-08,1372658.821839138
2019-04-09,1385588.0585167632
2019-04-10,1371866.3847524447
2019-04-11,1368446.3931151375
2019-04-12,1364984.694262741
2019-04-15,1369155.4157716525
2019-04-16,1373492.9661409203
2019-04-17,1368780.0508358504
2019-04-18,1368279.564254781
2019-04-19,1376120.5206915343
2019-04-22,1371866.3847524447
2019-04-23,1376871.2505631384
2019-04-24,1366027.3746399689
2019-04-25,1352722.7730265416
2019-04-26,1358311.5398484827
2019-04-29,1362273.7252819487
2019-04-30,1335205.7426891138
2019-05-06,1344047.6722880057
2019-05-07,1343505.4784918474
2019-05-08,1324278.452335766
2019-05-09,1326864.299671291
2019-05-10,1323068.9430981816
2019-05-13,1321317.240064439
2019-05-14,1326822.592456202
2019-05-15,1326822.592456202
2019-05-16,1326822.592456202
2019-05-17,1326822.592456202
2019-05-20,1326822.592456202
2019-05-21,1326822.592456202
2019-05-22,1326822.592456202
2019-05-23,1326822.592456202
2019-05-24,1326822.592456202
2019-05-27,1326822.592456202
2019-05-28,1322359.9204416666
2019-05-29,1320566.5101928348
2019-05-30,1317188.2257706167
2019-05-31,1321484.0689247954
2019-06-03,1318731.3927289138
2019-06-04,1303925.3313722785
2019-06-05,1303216.3087157635
2019-06-06,1307553.8590850313
